Country,Year,Death_Injuries_Missing
Australia,1999,0
Australia,2000,0
Australia,2001,0
Australia,2002,3
Australia,2003,0
Australia,2004,0
Australia,2005,0
Australia,2006,0
Australia,2007,0
Australia,2008,0
Australia,2009,0
Australia,2010,0
Australia,2011,0
Australia,2012,0
Australia,2013,0
Australia,2014,0
Australia,2015,0
Australia,2016,0
Australia,2017,0
Australia,2018,0
Canada,1999,0
Canada,2000,0
Canada,2001,0
Canada,2002,0
Canada,2003,0
Canada,2004,0
Canada,2005,0
Canada,2006,0
Canada,2007,0
Canada,2008,0
Canada,2009,0
Canada,2010,0
Canada,2011,0
Canada,2012,1
Canada,2013,0
Canada,2014,0
Canada,2015,0
Canada,2016,0
Canada,2017,0
Canada,2018,0
China,1999,11265
China,2000,3026
China,2001,942
China,2002,207
China,2003,6124
China,2004,738
China,2005,8069
China,2006,249
China,2007,332
China,2008,463859
China,2009,381
China,2010,14565
China,2011,312
China,2012,1355
China,2013,12940
China,2014,4354
China,2015,333
China,2016,737
China,2017,621
China,2018,377
India,1999,494
India,2000,0
India,2001,186841
India,2002,2
India,2003,0
India,2004,0
India,2005,50
India,2006,11
India,2007,9
India,2008,74
India,2009,11
India,2010,10
India,2011,325
India,2012,2
India,2013,95
India,2014,0
India,2015,2
India,2016,113
India,2017,3
India,2018,1
Indonesia,1999,225
Indonesia,2000,2588
Indonesia,2001,0
Indonesia,2002,756
Indonesia,2003,34
Indonesia,2004,229257
Indonesia,2005,1659
Indonesia,2006,45743
Indonesia,2007,1103
Indonesia,2008,1331
Indonesia,2009,4249
Indonesia,2010,451
Indonesia,2011,24
Indonesia,2012,74
Indonesia,2013,2612
Indonesia,2014,0
Indonesia,2015,63
Indonesia,2016,1019
Indonesia,2017,67
Indonesia,2018,15682
Japan,1999,0
Japan,2000,142
Japan,2001,163
Japan,2002,0
Japan,2003,1570
Japan,2004,3311
Japan,2005,584
Japan,2006,8
Japan,2007,1260
Japan,2008,577
Japan,2009,131
Japan,2010,2
Japan,2011,24733
Japan,2012,11
Japan,2013,28
Japan,2014,66
Japan,2015,12
Japan,2016,1572
Japan,2017,0
Japan,2018,1097
Malaysia,1999,0
Malaysia,2000,0
Malaysia,2001,0
Malaysia,2002,0
Malaysia,2003,0
Malaysia,2004,0
Malaysia,2005,0
Malaysia,2006,0
Malaysia,2007,0
Malaysia,2008,0
Malaysia,2009,0
Malaysia,2010,0
Malaysia,2011,0
Malaysia,2012,0
Malaysia,2013,0
Malaysia,2014,0
Malaysia,2015,18
Malaysia,2016,0
Malaysia,2017,0
Malaysia,2018,0
Philippines,1999,45
Philippines,2000,6
Philippines,2001,0
Philippines,2002,115
Philippines,2003,22
Philippines,2004,0
Philippines,2005,0
Philippines,2006,0
Philippines,2007,1
Philippines,2008,0
Philippines,2009,91
Philippines,2010,0
Philippines,2011,31
Philippines,2012,292
Philippines,2013,1239
Philippines,2014,1
Philippines,2015,1
Philippines,2016,0
Philippines,2017,717
Philippines,2018,0
South Korea,1999,0
South Korea,2000,0
South Korea,2001,0
South Korea,2002,0
South Korea,2003,0
South Korea,2004,0
South Korea,2005,0
South Korea,2006,0
South Korea,2007,0
South Korea,2008,0
South Korea,2009,0
South Korea,2010,0
South Korea,2011,0
South Korea,2012,0
South Korea,2013,0
South Korea,2014,0
South Korea,2015,0
South Korea,2016,15
South Korea,2017,90
South Korea,2018,0
UK,1999,0
UK,2000,0
UK,2001,0
UK,2002,1
UK,2003,0
UK,2004,0
UK,2005,0
UK,2006,0
UK,2007,1
UK,2008,1
UK,2009,0
UK,2010,0
UK,2011,0
UK,2012,0
UK,2013,0
UK,2014,0
UK,2015,0
UK,2016,0
UK,2017,0
UK,2018,0
US,1999,4
US,2000,41
US,2001,401
US,2002,1
US,2003,42
US,2004,0
US,2005,0
US,2006,0
US,2007,18
US,2008,11
US,2009,0
US,2010,30
US,2011,2
US,2012,214
US,2013,258
US,2014,0
US,2015,0
US,2016,0
US,2017,0
US,2018,118
